threshold,total_cost,cost_per_loan,approved,declined,tp,fp,tn,fn,precision,recall,f1
0.21653914113935113,18401720.847858705,783.9192659052017,20268,3206,845,2361,17967,2301,0.26356830941983783,0.26859504132231404,0.2660579345088161
0.21888387602710588,18378986.36423796,782.9507695423856,20386,3088,820,2268,18060,2326,0.2655440414507772,0.2606484424666243,0.2630734680782804
0.22127934577182276,18356251.880617216,781.9822731795696,20504,2970,795,2175,18153,2351,0.2676767676767677,0.2527018436109345,0.25997383911052974
0.22371509925024372,18365310.74382386,782.3681836850924,20622,2852,766,2086,18242,2380,0.26858345021037866,0.2434837889383344,0.2554184728242747
0.22614653468744222,18358472.93361681,782.0768907564459,20740,2734,739,1995,18333,2407,0.27029992684711046,0.23490146217418945,0.2513605442176871
0.22925485829857012,18319841.776582368,780.4311909594602,20858,2616,716,1900,18428,2430,0.27370030581039756,0.22759059122695485,0.2485248177716071
0.23194440134179234,18306932.264425185,779.8812415619487,20975,2499,690,1809,18519,2456,0.27611044417767105,0.2193261284170375,0.24446412754650135
0.2350140075227926,18300094.454218134,779.5899486333021,21093,2381,663,1718,18610,2483,0.2784544309113818,0.21074380165289255,0.23991315360955312
0.23872441765818256,18261463.297183692,777.9442488363164,21211,2263,640,1623,18705,2506,0.2828104286345559,0.203432930705658,0.23664263264928823
0.24177546673542435,18246677.150269795,777.3143541905852,21329,2145,614,1531,18797,2532,0.2862470862470862,0.19516846789574063,0.23209223209223206
0.24476128403342368,18215994.329942204,776.0072561106844,21447,2027,590,1437,18891,2556,0.29107054760730144,0.18753973299427845,0.2281074811521361
0.24839281731585916,18201208.183028307,775.377361464953,21565,1909,564,1345,18983,2582,0.29544264012572025,0.1792752701843611,0.2231454005934718
0.2520640936779575,18220092.017698508,776.1818189357804,21682,1792,534,1258,19070,2612,0.29799107142857145,0.16973935155753336,0.21628189550425275
0.2565338484093925,18229150.880905155,776.5677294413034,21800,1674,505,1169,19159,2641,0.3016726403823178,0.16052129688493325,0.2095435684647303
0.26119257014772607,18254106.417525493,777.6308433809957,21918,1556,474,1082,19246,2672,0.3046272493573265,0.15066751430387795,0.20161633347511698
0.26633572958519386,18310855.300973225,780.0483641890272,22036,1438,439,999,19329,2707,0.30528511821974963,0.13954227590591228,0.19153577661431065
0.27147891359656123,18327862.500886716,780.7728764116348,22154,1320,409,911,19417,2737,0.3098484848484849,0.13000635727908455,0.1831616659202866
0.276533924411458,18376663.047627598,782.8517955025815,22272,1202,375,827,19501,2771,0.3119800332778702,0.11919898283534647,0.17249310027598896
0.2828611258441726,18371701.872177258,782.6404478221547,22389,1085,348,737,19591,2798,0.3207373271889401,0.11061665607120152,0.16450011817537225
0.2912176667557205,18396657.4087976,783.7035617618471,22507,967,317,650,19678,2829,0.327817993795243,0.10076287349014622,0.15414539265742766
0.30038452682925076,18421612.94541794,784.7666757015396,22625,849,286,563,19765,2860,0.336866902237927,0.09090909090909091,0.14317897371714644
0.30988163301226174,18518103.51239991,788.8772050949948,22743,731,246,485,19843,2900,0.33652530779753764,0.07819453273998729,0.1269022440030952
0.3214842331607252,18519214.038899705,788.924513883433,22861,613,218,395,19933,2928,0.3556280587275693,0.06929434202161475,0.11598829475924448
0.3350843467053448,18496479.555278957,787.9560175206167,22979,495,193,302,20026,2953,0.3898989898989899,0.061347743165924985,0.10601483109035978
